Address,Nii Earned
0xdeb33d36edefca64a69f82b70822ccb833f04811,1246393.286726530002362
0xb675b6996785dab61e806fef87f19f7213d4a63f,349861.413438786393308
0xf348a7829404f16cf6bef18c091ae20dcb4ad0b6,367635.706682882863391
0x5d94abc659d8a10b5b715d22d8f77ad4f373f9d2,363502.736564533341371
0x1719a432820a9dee9c9112be8a528123ef6af444,216252.610641581667785
0xb45de2ad8568a2a80eb64c9a4584e235fa88571f,195781.68732828590099
0xaed9075d1bdd046bc1af03c476517ebb2768acf7,89565.923740372913503
0xaeabe173e4f1bba4c3b4664ea206b0b77152d458,101809.884237688743337
0xb06a2b9e6ecb9636b72ac5242521937bd7baf60f,61067.638411937441188
0x8aa46d13a453babecba17e177e84aebb7e3d605d,51705.180063397588329
0x137d9174d3bd00f2153dcc0fe7af712d3876a71e,13841.164407704298163
0x3ac24ab3d03183eaa2f0923e1ca256fb4d88fcff,18407.192582762252727
0xb0b5903b0313bdc8c1be8bb5a248403a133b3602,5414.259169252600441
0xa8e2212aa6eb086fd5256f0fe3e798c3a3d784c7,5209.332348408297894
0xbf44eb4f4b9e344828c933a62789457b0edb8dca,5030.887011492005826



